# Source: 中国邮政 EMS 协议客户开放平台 api.ems.com.cn（用户登录后提供，2026-05-13）
#   - 操作码数据字典（约 195 条，含国内运营 + 国际段 C_/O_/V_ + UPU EDA/EDB/EDC/EME 与 EXA-EXD）
#   - 妥投代码数据字典（24 条，签收方式细分）
#   - 未妥投代码数据字典（16 条，未签收原因细分）
#   接口基地址：https://api.ems.com.cn/amp-prod-api/f/amp/api/open
#   轨迹查询：apiCode=040001（拉取）/ 040002（推送）
# Reviewer: @zhatrix
# Note: EMS 同时提供三套互不重叠的码集：
#       (1) 操作码（事件级，原始码无前缀，含数字 / C_ / O_ / V_ / EDA / EXA 等命名空间）
#       (2) 妥投代码（投递成功时的签收方式细分，加 `signed:N` 前缀）
#       (3) 未妥投代码（投递失败的原因分类，加 `unsigned:N` 前缀）
#       消费方处理建议：操作码作为事件 timeline 主轴；妥投/未妥投码作为 delivered /
#       delivery_attempted 事件的子分类细化（通过事件 notes 字段或扩展属性传递）。
# Note: 文档中以"删除"结尾的码（207/212/304/424/448/472/474/483/492/742/743/744 +
#       EDAD/EDCD/EMED/EXAD/EXBD/EXCD/EXDD）是事件冲销，常规消费应作废同一同事件
#       的前一条。OLTS v0.1 把这类码映射到 exception，notes 标"事件冲销"。v0.2 引入
#       event_type=cancellation 字段后将单独建模。
carrier_code,carrier_name,olts_code,notes
013,订单拦截成功,exception,运营/合规拦截
203,收寄计费信息,picked_up,
207,揽收环节删除邮件,exception,事件冲销：作废 203
208,客户交接,transferred_to_carrier,
212,客户交接取消,exception,事件冲销：作废 208
303,揽收批量配发,in_transit,内部派工
304,揽投配发取消,exception,事件冲销：作废 303/336/345
305,揽投发运/封车,departed_from_hub,
312,转退营业,return_initiated,转退至营业网点
326,投递邮件接收-退件封发,in_return_transit,
336,揽收直连配发,in_transit,
345,揽收扫描配发,in_transit,
356,处理中心分拣机落格绑定,in_transit,hub 内部操作
358,处理中心容器绑定,in_transit,
360,处理中心挂信齐格封发,in_transit,
364,处理中心分拣机齐格封发,in_transit,
365,处理中心分拣机扫描封袋,in_transit,
368,处理中心分拨扫描,in_transit,
370,处理中心到段封发,in_transit,
371,处理中心指定封发-封袋,in_transit,
374,处理中心动态封发-封袋,in_transit,
375,处理中心二码合一封发,in_transit,
376,处理中心扫描封发,in_transit,
379,处理中心邮件追加,in_transit,
389,处理中心封车,departed_from_hub,
394,处理中心道段封发,in_transit,
396,外系统封发,in_transit,
399,处理中心动态调度,in_transit,
404,交航扫描,transferred_to_carrier,跨段交接（航空）；运输模式归 notes
405,库区退回扫描,return_initiated,
423,出口邮件直封封发,departed_from_hub,出口段
424,出口邮件直封封发删除,exception,事件冲销：作废 423
447,退回邮件开拆,in_return_transit,
448,退回邮件开拆删除,exception,事件冲销：作废 447
456,已完成目的国清关,clearance_completed,
457,航空公司启运,departed_from_hub,运输模式（航空）信息归 notes
458,到达境外航站,arrived_at_hub,
459,到达境外进口互换局,arrived_at_hub,UPU 进口互换局是邮政枢纽（非海关）
460,离开境外进口互换局,departed_from_hub,
461,到达境外投递局,arrived_at_destination,
462,境外试投,delivery_attempted,
463,境外妥投,delivered,
464,境外收寄,picked_up,
465,到达境外出口互换局,arrived_at_hub,
466,发送到境外海关部门,customs_declared,
467,境外海关清关查验,customs_inspection,
468,境外已完成目的国清关,clearance_completed,
469,境外海关放行,customs_released,
470,境外海关扣留,customs_held,
472,交航扫描删除,exception,事件冲销：作废 404
474,库区退回扫描删除,exception,事件冲销：作废 405
481,境外已交付航空公司,transferred_to_carrier,运输模式（航空）信息归 notes
482,交换站退回扫描,return_initiated,
483,交换站退回扫描删除,exception,事件冲销：作废 482
485,境外进口互换局留存,arrived_at_hub,
486,送交境外进口海关,customs_declared,
487,境外进口海关放行,customs_released,
488,到达境外经转局,arrived_at_hub,
489,离开境外经转局,departed_from_hub,
490,境外投递点留存,arrived_at_destination,
491,到达境外自提点,delivery_to_locker,
492,境外进口取消,exception,
493,境外进口海关留存待验,customs_held,
494,离开境外出口互换局,departed_from_hub,
495,到达境外经转局（第三国经转）,arrived_at_hub,
496,离开境外经转局（第三国经转）,departed_from_hub,
498,到达境外二级处理中心,arrived_at_hub,
499,计划交航,in_transit,
500,航空公司接收,transferred_to_carrier,运输模式（航空）信息归 notes
505,飞机到达进港,arrived_at_hub,运输模式（航空）信息归 notes
506,口岸接收扫描,arrived_at_hub,
516,总包到底寄达地,arrived_at_destination,
