# Source: DHL Tracking Unified API + DHL Parcel DE ICE event/RIC combinations
#   (用户提供，2026-05-13)
#   - StatusCode 顶层 5 个：track_6.yaml line 376 (OpenAPI spec)
#   - event:ric 282 条：parcel_de_ice_event_ric_combinations_July_2024.csv
#     (DHL 官方 ICE 事件×原因码完整组合，覆盖 DHL Paket / Paket International /
#      Europaket 三个产品；同一 event:ric 可能在多产品适用)
# Reviewer: @zhatrix
# Note: DHL Tracking Unified API 提供两层状态码：
#       (1) StatusCode（5 个，跨 service 通用高层粒度）—— 加 `status:` 前缀
#       (2) event:ric 组合（事件×原因细粒度，DHL Parcel DE ICE 命名空间）——
#           格式 EVENT:RIC，5 字母 event_code + 5 字母 ric_code
# Note: carrier_name 列保留 DHL 原始的"event_name / ric_name"英文描述，方便
#       消费者按业务语义 grep；具体德文/产品适用性请回查官方 CSV。
carrier_code,carrier_name,olts_code,notes
status:pre-transit,Pre-transit,order_created,运输前准备态
status:transit,Transit,in_transit,
status:delivered,Delivered,delivered,
status:failure,Failure,exception,投递失败终态
status:unknown,Unknown,exception,未知态视为异常
ADVIS:DLVDT,Advise / DeLiVery DaTe,in_transit,客户通知 - 约定送达日期
ADVIS:DLVTM,Advise / DeLiVery TiME,in_transit,客户通知 - 送达时间窗
ADVIS:MSGER,Advise / Message Error,exception,消息推送失败
ADVIS:MSGPC,Advise / Message processing,in_transit,SMS 处理中
ADVIS:MSGST,Advise / Message sent,in_transit,通知短信已发
ADVIS:ORDER,Advise / Ordered,order_created,
ADVIS:PFLOC,Advise / Preferred Location/Neighbor,in_transit,客户指定派送位置
ADVIS:REJCT,Advise / Rejected,exception,通知请求被拒
ADVIS:ROUCR,Advise / reROUted on Customer Request,in_transit,客户请求改路由
ADVIS:SECDA,Advise / SECond Delivery Attempt,delivery_attempted,二次派送通知
ADVIS:STBSD,Advise / Stopped by sender,order_cancelled,发件人请求停止
ALERT:BDADD,Alert / Bad address,address_issue,
ALERT:DLVTM,Alert / DeLiVery TiME,in_transit,送达时间窗警告
ASMVT:NRQRD,Assigned to movement / tour vehicle,in_transit,已分配运输车
CANCL:NRQRD,Shipment order canceled by sender,order_cancelled,
CHECK:SVCHG,Checked / Product feature check - Service changed,exception,产品特性检查导致服务变更
CNFSC:LEGAT,Confiscation / LEGal AuThority,exception,法律权限没收
CNRFC:HDFCT,Consignee notified - Ready for collection / Held at DHL facility,awaiting_pickup,
CNRFC:NRQRD,Consignee notified - Ready for collection,awaiting_pickup,
CNRFC:PCKST,Consignee notified - Ready for collection / Packstation,awaiting_pickup,Packstation 自提
CNRFC:SERPT,Consignee notified - Ready for collection / Service Point,awaiting_pickup,Service Point 自提
DLVRD:ACCDM,Delivered / Accepted - damaged,damaged,签收时发现损坏
DLVRD:ACCPK,Delivered / Collected from automated site,delivered,Packstation 自提完成
DLVRD:ACCPT,Delivered / Accepted,delivered,
DLVRD:ACCSI,Delivered / Accepted - Shipment incomplete,delivered,签收但货件不完整
DLVRD:AGENT,Delivered / Hand over/delivery to Agent,signed_by_third_party,代理签收
DLVRD:CODAR,Delivered / Electronic shipment advise received,delivered,COD 电子通知确认
DLVRD:CODRP,Delivered / COD remittance processed,delivered,COD 付款已处理
DLVRD:CUSTM,Delivered / Customs,customs_declared,交付海关进入清关流程
DLVRD:DIDLV,Delivered / Direct delivery at hub/delivery depot,delivered,
DLVRD:FAMLY,Delivered / Delivery to a family member,signed_by_third_party,家庭成员代签
DLVRD:HNDTC,Delivered / Handover to carrier,transferred_to_carrier,移交承运商
DLVRD:NGHBR,Delivered / Delivery to neighbor,signed_by_third_party,邻居代签
DLVRD:OTHER,Delivered / Other - Delivery to another person,signed_by_third_party,他人代签
